Conteúdo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Receita estimada (USD),Impressões,Taxa de cliques de impressões (%)
as1FWx8wQC8,Príncipe fake tenta lacrar mas é desmascarado por Lindbergh Farias,"Jun 15, 2023",3280,114.8757,-1,2.473,20260,12.28
nGULWla1AO0,Fala Histórica: Célia Xakriabá explana o machismo do Congresso Nacional,"Jun 14, 2023",6763,198.8012,6,2.46,59505,7.61
XZlGPSk2j6M,"Boulos debate com Nikolas Ferreira ""A única coisa que precisa ser invadida é essa sua cabecinha oca""","Oct 12, 2022",6292,210.0585,12,2.457,62605,8.21
d5kwd2iKNiI,"""Liberdade de Expressão x Liberdade de Agressão"" Resumo da fala de Alexandre de Moraes na USP","Apr 3, 2023",2562,151.7979,5,2.404,42837,4.15
JzlCJW7aVmw,O Que Bolsonaro Realmente pensa sobre os Pobres,"Oct 9, 2018",4856,76.7921,14,2.358,28616,7.65
ryQRMHwFchc,Cada vez mais artistas se somam na campanha a favor da PL das Fake News (PL 2630),"May 1, 2023",5794,86.5997,4,2.324,51311,7.82
F7FIrXu2ERs,"""O Poder dos Oprimidos"" Deputado Renato Freitas fala sobre luta por direitos e igualdade","Apr 7, 2023",3679,93.3467,14,2.31,49013,5.47
1udPqqcc2Fk,"😂 ""Eu vou chamar o professor!"" 😂 Valmir Assunção zoa deputada Caroline De Toni","Jun 21, 2023",114476,1261.0912,159,2.307,93894,6.88
ZCma409ESH4,Xuxa responde Malafaia e defende causa LGBTQI+,"Oct 3, 2020",7185,124.6751,21,2.297,30737,21.1
HjFFzQAww-M,PL da Fake News: Flávio dino cobra POSTURA e TRANSPARÊNCIA de publicidades do google,"May 2, 2023",4657,87.9052,0,2.296,40181,8.81
JGz87xvk8BE,"Papa denuncia farsa jurídica no Brasil: ""Lula foi condenado sem provas"" ""Dilma Tem Mãos Limpas""","Apr 2, 2023",5195,69.1662,5,2.283,49592,6.97
TWz81c234nM,"""Eu não me submeto ao medo"" Mídia NINJA entrevista Ney Matogrosso [English Subtitled]","Oct 27, 2019",1465,165.6855,11,2.189,21804,5.09
ibis9INMSSs,"""O orgulho LGBTQIAP+ é o orgulho de ser brasileiro"" Silvio Almeida emociona com discurso histórico!","Jun 28, 2023",3924,147.9934,4,2.157,69695,3.32
cHRRzevxE6k,Artistas se manifestam contra Bolsonaro no Lollapalooza 2022,"Mar 29, 2022",7464,180.3912,24,2.117,80114,7.94
saPH1LY4Od4,"É de chorar! Anielle Franco relembra sua irmã, Marielle, em seu discurso de posse","Jan 12, 2023",4531,91.3558,11,2.11,49600,6.94
VN9kKeL94Lk,"Felipe Neto fala sobe o mito “país de esquerda não dá certo""","Oct 26, 2022",3423,96.6516,15,2.069,17816,13.18
4ZL6gKtRhtY,"Cacique Rooni Metyktire, que passou a faixa para Lula, fala sobre a experiência única","Jan 4, 2023",6858,74.5031,4,2.058,56209,9.21
TtRRTTC330M,Ministro mostra o estado que ficou o Palácio do Planalto,"Jan 9, 2023",4907,60.3603,6,2.058,37502,9.51
mhH9Q22qY6I,Lula critica o comportamento golpista de Bolsonaro ao não reconhecer o resultado das urnas,"Jan 11, 2023",4926,51.6931,4,2.053,31851,12.19
9UywSSMF02M,Lula confirma salário mínimo de R$ 1.320 a partir de maio no dia do Trabalhador,"May 1, 2023",5374,132.1632,4,2.013,52186,8.6
o3KXIIbpie0,Gleici Damasceno denuncia racismo no aeroporto ao retornar ao Brasil,"Feb 25, 2023",2977,132.1802,-2,1.963,25224,7.98
TCGzn8EKw0M,"BOLSONARO ESTÁ ENCURRALADO: depoimento à PF, CPI do 8 de Jan e joias recebidas por Michelle","Apr 26, 2023",4092,117.3583,4,1.945,27449,11.25
OxQX5pBkzIY,"Líder do governo no congresso afirma: ""As instituições do Congresso Nacional estão funcionando""","Jan 9, 2023",7279,135.4485,18,1.935,52948,11.91
woLAAwqdrZM,"Luciano Solar, vereador de Alfenas, denúncia de violência policial e perseguição na Assembleia de MG","Apr 11, 2023",8120,98.6854,3,1.913,49074,14.23
Pb-wuV8njJE,Fala impecável de Senador Randolfe na entrega decreto de intervenção federal no DF aprovado à Lula,"Jan 11, 2023",7806,82.6278,4,1.872,35750,18.36
5PLiR_GMJ60,Flávio Dino irá processar Eduardo Bolsonaro por racismo contra moradores do Complexo da Maré,"Mar 17, 2023",5198,115.2176,8,1.867,38892,8.84
-9ocrEuHZ9M,Não irão calar as mulheres parlamentares. Reunião do Conselho de Ética da Câmara dos Deputados.,"Jun 14, 2023",3110,92.9216,-4,1.864,19892,6.85
BaDSpWOf8DM,Caminhão explode e assusta moradores de Rio Pomba-MG não houve feridos,"Jan 17, 2023",4311,59.4315,2,1.849,25162,8.64
0TJfX91o9J8,“Não podemos permitir!” Lula exige ação das autoridades espanholas no caso de racismo contra Vini Jr,"May 22, 2023",3629,49.3103,0,1.833,40357,6.39
5IYnGxJc0Eg,"Viola Davis, mais uma vez, dizendo tudo que você precisava ouvir! #BlackLivesMatter","May 29, 2020",1997,35.6626,16,1.823,9548,12.01
oSKNSXRSFgA,Homossexualidade é crime! Onde?,"Dec 4, 2020",3928,153.4916,28,1.814,37606,8.63
9KMn5ddeRuc,Caetano Veloso entrevista Sabrina Fernandes,"Mar 30, 2020",1594,407.6316,17,1.789,31294,3.15
1rMYzz7rqUY,"""O Senador não Manja de Nada"" Rogério Correa ironiza Marcos do Val na CPI dos Atos Golpistas","Jun 6, 2023",102505,727.8409,258,1.775,34535,4.44
